idx_a,idx_b,name_a,name_b,tentative,inliers,inlier_ratio_percent,f_estimated,success
0,1,2026-02-15_16-25-03_04569.png,2026-02-15_16-25-03_04681.png,49,13,26.53,True,False
0,2,2026-02-15_16-25-03_04569.png,2026-02-15_16-25-03_04709.png,36,10,27.78,True,False
0,3,2026-02-15_16-25-03_04569.png,2026-02-15_16-25-03_04752.png,9,7,77.78,True,False
0,4,2026-02-15_16-25-03_04569.png,2026-02-15_16-25-03_10305.png,16,11,68.75,True,False
0,5,2026-02-15_16-25-03_04569.png,2026-02-15_16-25-03_10404.png,8,7,87.50,True,False
0,6,2026-02-15_16-25-03_04569.png,2026-02-15_16-25-03_10474.png,13,7,53.85,True,False
0,7,2026-02-15_16-25-03_04569.png,2026-02-15_16-25-03_10671.png,17,11,64.71,True,False
0,8,2026-02-15_16-25-03_04569.png,2026-02-15_16-25-03_12035.png,14,8,57.14,True,False
1,2,2026-02-15_16-25-03_04681.png,2026-02-15_16-25-03_04709.png,186,32,17.20,True,True
1,3,2026-02-15_16-25-03_04681.png,2026-02-15_16-25-03_04752.png,68,18,26.47,True,True
1,4,2026-02-15_16-25-03_04681.png,2026-02-15_16-25-03_10305.png,40,13,32.50,True,False
1,5,2026-02-15_16-25-03_04681.png,2026-02-15_16-25-03_10404.png,74,16,21.62,True,True
1,6,2026-02-15_16-25-03_04681.png,2026-02-15_16-25-03_10474.png,87,15,17.24,True,True
1,7,2026-02-15_16-25-03_04681.png,2026-02-15_16-25-03_10671.png,10,7,70.00,True,False
1,8,2026-02-15_16-25-03_04681.png,2026-02-15_16-25-03_12035.png,14,8,57.14,True,False
2,3,2026-02-15_16-25-03_04709.png,2026-02-15_16-25-03_04752.png,127,23,18.11,True,True
2,4,2026-02-15_16-25-03_04709.png,2026-02-15_16-25-03_10305.png,83,18,21.69,True,True
2,5,2026-02-15_16-25-03_04709.png,2026-02-15_16-25-03_10404.png,101,20,19.80,True,True
2,6,2026-02-15_16-25-03_04709.png,2026-02-15_16-25-03_10474.png,207,21,10.14,True,True
2,7,2026-02-15_16-25-03_04709.png,2026-02-15_16-25-03_10671.png,122,17,13.93,True,True
2,8,2026-02-15_16-25-03_04709.png,2026-02-15_16-25-03_12035.png,94,17,18.09,True,True
3,4,2026-02-15_16-25-03_04752.png,2026-02-15_16-25-03_10305.png,17,9,52.94,True,False
3,5,2026-02-15_16-25-03_04752.png,2026-02-15_16-25-03_10404.png,17,10,58.82,True,False
3,6,2026-02-15_16-25-03_04752.png,2026-02-15_16-25-03_10474.png,90,19,21.11,True,True
3,7,2026-02-15_16-25-03_04752.png,2026-02-15_16-25-03_10671.png,139,19,13.67,True,True
3,8,2026-02-15_16-25-03_04752.png,2026-02-15_16-25-03_12035.png,305,36,11.80,True,True
4,5,2026-02-15_16-25-03_10305.png,2026-02-15_16-25-03_10404.png,286,46,16.08,True,True
4,6,2026-02-15_16-25-03_10305.png,2026-02-15_16-25-03_10474.png,171,31,18.13,True,True
4,7,2026-02-15_16-25-03_10305.png,2026-02-15_16-25-03_10671.png,86,21,24.42,True,True
4,8,2026-02-15_16-25-03_10305.png,2026-02-15_16-25-03_12035.png,5,0,0.00,False,False
5,6,2026-02-15_16-25-03_10404.png,2026-02-15_16-25-03_10474.png,452,79,17.48,True,True
5,7,2026-02-15_16-25-03_10404.png,2026-02-15_16-25-03_10671.png,195,37,18.97,True,True
5,8,2026-02-15_16-25-03_10404.png,2026-02-15_16-25-03_12035.png,9,7,77.78,True,False
6,7,2026-02-15_16-25-03_10474.png,2026-02-15_16-25-03_10671.png,296,81,27.36,True,True
6,8,2026-02-15_16-25-03_10474.png,2026-02-15_16-25-03_12035.png,88,15,17.05,True,True
7,8,2026-02-15_16-25-03_10671.png,2026-02-15_16-25-03_12035.png,213,22,10.33,True,True
9,10,2026-02-15_16-35-56_05934.png,2026-02-15_16-35-56_06892.png,260,38,14.62,True,True
9,11,2026-02-15_16-35-56_05934.png,2026-02-15_16-35-56_07849.png,188,29,15.43,True,True
9,12,2026-02-15_16-35-56_05934.png,2026-02-15_16-35-56_09763.png,216,34,15.74,True,True
10,11,2026-02-15_16-35-56_06892.png,2026-02-15_16-35-56_07849.png,347,52,14.99,True,True
10,12,2026-02-15_16-35-56_06892.png,2026-02-15_16-35-56_09763.png,433,96,22.17,True,True
11,12,2026-02-15_16-35-56_07849.png,2026-02-15_16-35-56_09763.png,222,40,18.02,True,True
